文件名,下降检查单,增压,着陆高度_,再现,检查,自动刹车,_下降,着陆数据,VREF_Minimums_,进近简令,完成,最大着陆重量,核实,下降检查单完成,过渡高度层,高度表_,进近检查单,高度表,航道导航频率调定,进近检查单完成,开灯,10000,襟翼_,襟翼_速度,襟翼_到位,自动驾驶_航道_ILS识别码_,证实,APP预位/VOR/LOC预位,航道截获,进近航向_APP预位,下滑道移动,放轮襟翼15,襟翼15速度,下滑道截获,襟翼30/40,进近速度_,复飞高度_,着陆检查单,发动机启动电门,连续,减速板,预位,起落架,放下,襟翼,_绿灯,APU引气按需设置,核实,着陆检查单完成,OM/FAP高度_,检查,1000稳定,检查开灯/复飞,500稳定,拉平预位,差100,继续,300稳定,检查/复飞,频闪灯,MINIMUMS_,继续/落地,减速板升起/无减速板,自动刹车工作,反推正常/_发无反推/无反推,60,自动刹车解除
28082B982180702A71082107B88A263204DD7E48EEEDACC13917DCB2BCA64D91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,2,2,0,0,0,0,2,1,0,0,1,1
2A1E114C60350DB1A2327929622306B0E327EEE187DCF8A657AC38DF07E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,2,3,0,1,2,1,3,1,3,0,0,0,3,1,5,0,0,0,1,1,0,0,1,2,1,2,0,0,3,1,1,1,0,0
2A1E114C60350DB1A2327929622306B0E327EEE187DCF8A657AC38DF07E41855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2ADC2A4B3D399001EE20CA6828BFFCA5E14D17FDDDFD8758373AD8EDC686,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,0,1,0,1,2,1,1,1,0,0,2,1,3,1,3,1,2,1,3,1,8,1,0,1,1,1,1,0,3,2,1,1,0,0,3,0,0,1,1,1
32E197F4A971AA81EE99096A5A5B647C79AEDEFD9E8C2D792B2E764354608F2D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,2,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
35E5D4BDD960A834CE1D040C783D868F09D0323A832A0710153C407A88247E6E,1,1,1,0,0,1,0,1,0,1,3,1,4,0,0,1,1,0,0,1,0,0,5,3,3,1,6,1,1,0,1,2,2,1,3,0,0,2,0,3,1,3,1,1,5,5,1,8,1,0,0,1,1,0,0,0,2,0,1,0,1,3,0,1,0,0,2
3B3E6956BA4425C96B0D089531ACFF9D7AAAE177C67435C83C7150DD7EFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,2,1,2,1,1,4,1,0,0,0,0,1,1,0,1,0,1,4,0,1,0,0,4,0,0,0,0,0
4325EF4A8025053707253A452800B8EFEF11212812061B33E50A780E487F119E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,4,0,0,0,1,0,1,0,2,0,1,1,1,2,1,3,1,2,1,3,1,8,1,0,0,1,2,1,0,1,4,1,2,0,0,6,1,1,0,0,0
4A27655C812E9D2D7E96D82648C3AF6204D80BDECDD468C14FAD116FDDEEFCBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,3,1,2,1,1,0,2,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
4D688E24DF8FC8A3DE665AFEEE3ADDD4A8B07AFF1CA5830DFA9744D83B3A9473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,1,4,0,0,0,0,2,0,1,3,0,1,2,1,3,1,3,1,2,3,3,1,8,1,1,0,1,1,2,0,3,4,1,1,0,0,4,1,1,1,1,0
537BB1282FF94C825D497009451D7240218201487DC472AE00734E7F0BFF2E1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,8,4,1,18,2,1,0,0,2,1,1,4,0,1,1,1,3,1,3,1,2,2,3,1,2,1,0,1,1,2,2,0,3,3,0,1,0,0,4,1,1,1,1,0
54FC3675611E5D309AF070EF01D219A0E28F961C73F21D5EFC83CE3EC485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,1,1,0,1,0,0,1,0,1,3,0,0,3,1,2,1,5,1,1,3,4,1,3,0,0,0,1,1,0,0,2,2,0,0,0,1,5,1,1,1,0,0
5952309FB15D7080632378D8A3178D7466DABBB36E56842481FE5912E85B192B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,0,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0
5B38968C062C8144C91767654538A05C62A857DFFB5D3F54142CB7BE442942AE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,6,2,5,0,8,0,1,1,0,2,2,0,3,1,2,2,0,1,1,4,0,1,6,1,1,9,1,0,0,1,1,1,0,1,7,1,1,0,0,9,1,1,1,0,0
5D9F6C01B57116D95943EE5677B0B33814C230999E9E7D8B2602887B73F117A6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,4,2,3,1,2,0,0,0,0,2,0,0,4,0,1,2,1,3,1,3,1,2,4,3,1,1,1,2,0,1,0,1,0,0,2,0,0,0,0,2,1,1,1,1,0
66BBA8F3F36452D2F4D9F7A2099B3AFFB8D6740F67BB35104BAE420E01FF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,2,1,0,0,2,1,1,0,0,3,1,1,0,0,0,0,0,4,0,0,4,0,0,0,1,2,1,0,3,2,0,3,0,0,5,1,2,0,0,1
67E25AE21C7C587F65534DC829B8D8E498A2EA57960C696D89B9F058D780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,1,0,1,0,0,1,1,0,3,0,0,1,1,2,1,3,1,1,0,2,1,6,1,0,0,1,0,1,0,3,0,1,0,0,0,1,1,1,1,0,1
688DB99F3D0BD69D3BE59B789828525B9C21F4F2FCD49704FA22ED9FB95A840C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,3,0,1,0,1,0,0,2,2,1,3,0,1,1,1,2,1,3,1,1,2,2,1,10,0,0,0,1,2,1,0,0,2,1,2,0,1,4,0,1,1,0,0
6EEAB896536D35C1B88841112752E9C7CAAE0D2BCEC99C3DB154E82A352E9CD9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0,2,1,0,6,1,5,0,1,1,0,0,0,1,0,0,2,0,1,2,1,3,1,3,1,2,6,3,1,4,0,1,0,1,0,1,0,1,2,1,0,0,0,4,1,0,1,1,0
6F2A65CFCFA6D02EDD1D381FA2809AE0A897C12A55872D73F3F7F4C2AA503153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,0,2,0,0,0,0,2,0,2,2,0,1,2,1,3,1,3,1,2,3,3,1,1,1,0,0,1,0,0,0,2,2,0,0,0,0,3,1,0,1,1,0
6F65C77098EE74A3B485A423B0D9ED1372C2FB7B363C19D89A4460863ED33B2F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,1,0,3,4,5,1,0,0,0,0,0,2,1,0,4,0,2,2,1,3,1,3,1,2,2,3,1,8,1,1,0,1,1,1,0,4,3,1,5,0,0,4,1,1,1,1,0
74CE646EF173DC01C954FB32687E62AB0F98FDA44EC789A322EEB1EA21CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,12,1,2,0,0,2,0,0,2,0,0,2,1,3,1,3,1,2,1,4,0,2,0,0,0,1,1,1,0,2,3,0,0,0,1,3,1,0,1,0,0
794E09149C37BF55EEB47665C8348DEC71B74723B6B9C878EEEFEADD85C2E75F,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,0,0,0,6,1,2,0,2,0,0,0,0,1,0,0,1,0,0,2,1,2,1,2,1,1,6,2,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,1,1,0,0
85092BFC995FF1DE5B5738C96D89834FD741EF53378E95B08F4D3B3E8289DD9C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,0,17,1,1,0,0,2,3,0,2,0,1,3,1,3,1,4,1,2,0,3,1,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0
87D598DA932E3362DC2DDF3C4D8253289B69893C7385185FFA5E849942A0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,4,4,5,0,4,0,0,0,0,2,0,0,4,0,1,1,0,1,1,3,1,2,4,3,1,2,1,0,1,1,0,1,0,3,2,1,2,0,0,2,1,0,1,1,0
88A9EEB134F273D74DF02266AED5EF0C9B007EB2C2661261546B052FF7F7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,1,0,0,1,1,1,3,0,0,1,1,2,1,3,1,1,0,2,1,4,1,0,0,1,0,1,0,4,0,1,0,0,0,1,1,1,1,0,1
8B5AC0199AB3AF6544191314E3386986599E0805B3DCE9B36705576073FE6943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,4,1,23,1,1,0,1,2,1,0,3,0,0,2,1,3,1,3,1,4,2,3,1,3,1,2,2,1,1,1,0,1,4,0,3,0,0,7,1,1,1,1,0
8BD641C9894F79C6697FC8A552FB1AE1AA054DB232468726E1E1D0E33F8D203D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,9,0,0,0,0,2,0,0,5,0,1,2,1,3,1,3,1,2,0,2,1,4,1,1,2,2,2,1,0,2,3,1,2,0,0,3,1,0,1,0,1
8C50ECD72CFDE5E72638987174B5B13C1AD9F6113E2CAD279E20814CC2367637,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,3,2,0,1,0,0,0,0,1,1,0,0,2,1,3,2,2,2,0,2,4,1,4,1,0,0,0,1,1,0,1,2,0,0,0,0,2,1,1,0,0,0
8D3426C1C38C3D7820C0BBB9552BA691F6784F100CC8FD8F6BFB7DC4C71F72B7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,2,0,0,0,1,0,3,0,1,1,1,2,1,3,1,1,2,2,0,2,0,0,0,1,1,1,0,1,3,0,0,0,0,4,1,0,0,0,1
8F00DCCF695C15AC4A34A7C165407A85387B02D8C9A4D1CF01266A4D3DC4D68B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,0,3,0,1,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,3,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0
91D161AC59D9E89B8BA8E4D813E756B0CD233FA8615D1B7AF481C5F6BC27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,6,0,0,0,0,2,1,0,3,0,0,2,1,3,1,3,1,2,5,3,1,1,0,0,0,1,1,1,0,1,3,0,1,0,1,3,1,0,1,0,0
91E89C14F8C510EA8092B1DB2500F55B59554D8D620C0CB98425834133BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,4,2,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,3,1,3,1,2,4,3,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,1,1,1
9869A7FEAE149D6314A5560DD489F81FECE5ECAD4D20A585D97C4D4386B0DC29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,2,4,2,2,1,0,1,0,0,0,2,1,5,1,1,2,1,3,1,4,1,1,2,3,1,9,0,0,0,1,1,1,0,3,2,0,0,0,0,3,1,1,0,0,0
99D1B1683B22436BCA11268410D0361B4AB73D47C9F55E15E3A67DBA806E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,11,0,0,0,0,2,1,1,3,0,0,3,1,3,1,3,1,2,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1
9A1CAF20489E956B2A676AEB935CE2DC9A48A270B846193F2B08BC207B115FE3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,4,6,5,2,5,0,0,0,0,2,1,0,4,0,2,2,1,3,1,3,1,2,4,3,1,7,1,0,1,2,1,1,0,2,2,1,4,0,0,2,1,0,0,1,0
A1B856077E4BA9C6CB6BA105048D19EAA04CE77E62E5BC41885902957A1FB842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,1,2,0,1,3,0,0,2,1,1,0,0,0,0,2,1,1,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0
A33A7F789E07E471B4C4DB3FC69FCB3B038469BB6A3262FCCA9143485DE3F3EF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,2,0,0,3,0,0,2,1,3,1,3,1,1,4,2,1,1,1,0,1,1,0,1,0,2,2,0,1,0,0,2,1,1,1,1,0
A5F14B983EBD09676C80B2E6D9231CFC8CB6A009E7FBC260B6D262FAC74670D7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,5,4,0,2,0,0,0,1,2,0,1,3,0,0,1,1,3,1,3,1,2,3,3,1,6,1,0,0,1,1,1,0,1,2,1,0,0,0,2,1,0,1,1,0
A8F00EABF158BAFEA12C8C7082FD24D2E6B2EE519FF49BB951ACEAD9CB3C9B07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,4,0,8,0,0,0,1,2,0,1,4,0,0,1,1,3,1,4,1,2,4,1,0,0,1,0,0,1,1,1,0,1,4,1,1,0,1,4,1,1,1,0,1
AA301508CE141E0B678E2B5B86E991F0FCC34029D1718469EC168E2881AAF9BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3,0,4,0,6,0,0,0,0,2,0,0,2,0,0,2,1,3,1,3,2,2,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,3,1,1,1,1,0
AF019351825FE6F7DEBC17F4AB7EC5C335E41E46227050D8C874E837C12DD5EA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,1,2,0,1,0,1,2,0,2,4,0,0,3,1,3,1,4,1,2,8,2,1,2,0,0,0,1,0,1,0,1,3,1,2,0,1,4,1,1,1,1,0
B9E23ED4EF24AB7D6535520D587F26DDA2B89B585E89C38FF1D8B4CD4DACF444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,1,0,0,6,3,6,0,5,0,0,0,0,2,1,0,4,0,0,2,1,5,1,3,1,1,4,3,1,2,1,0,0,1,0,1,0,0,4,1,0,0,1,4,1,0,1,0,0
BF298EA647963C69247DE4C0D5B0868C13B6075BA25A841ED58A401B52F7BEC0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,1,1,0,1,0,0,1,1,2,2,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,0
BF8F42D67A66F2E601415C4F80B8A496CA8CC6CC2269E0CF96C4FE9A08F05D7E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,0,0,2,0,1,2,0,0,2,0,2,1,2,1,1,3,5,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,3,1,0,1,0,0
C3E29C441F3267CFCD5CFCA6F8B5C653E0B8AB559F6F4D74DE1DA8C345D9270E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,9,0,2,0,0,2,0,0,3,0,0,2,1,5,2,3,1,2,2,3,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
C871C8EE5FCFE33C361FCE4878CCDAB5CEB81409B61116040EF5259C9B943627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,1,11,0,0,0,0,0,0,0,2,0,0,2,0,2,1,2,1,1,5,2,1,4,1,0,2,0,0,0,0,1,1,0,2,0,1,2,1,0,0,0,0
CC55D7220FF19D5063B9A2472888BAEDAC14E0F486198451706C04B96633F5BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,1,9,0,1,0,0,0,1,0,1,0,0,2,1,3,1,5,1,2,4,4,1,1,1,0,0,1,1,1,0,3,3,1,2,0,0,5,1,1,1,0,1
CD266B1D082B1D33C3F4D29D8EC10DF5B2CBE4796C8A78DA7E6BFEA47036E0AB,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,1,4,2,0,0,1,1,0,1,3,0,1,1,0,2,1,3,1,1,1,0,1,3,1,0,3,0,1,0,0,2,3,0,5,0,0,3,0,0,0,0,0
CFE60B6373709777DC35ADE915271F219B052CA0E119EEEF1AAF2F94435F9A1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,4,1,5,2,2,0,1,1,3,1,3,0,0,1,1,3,1,3,1,2,5,3,1,19,1,0,0,1,1,0,0,10,1,1,0,0,0,3,1,0,0,1,1
D422FF56091EFA7F51889771116D11339694BEE573B6B8E6F9DAA46A4A596666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D6C04393652D8581B7C8942B730DF7B33DB29B614A26AFAF5160DE4DEB116C2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,0,1,0,0,0,2,1,0,4,0,0,2,1,3,1,3,1,2,4,3,1,8,1,0,0,0,0,1,0,3,2,1,0,0,0,4,1,1,1,1,0
D9699FC08C583001A448E087ACAA749199303EC1F4F9FD2ACFF43CB9C57C85CE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,4,4,4,0,6,0,0,0,0,2,1,0,3,0,0,1,1,3,1,3,1,0,4,3,1,6,1,1,0,1,1,1,0,3,3,1,2,0,0,4,1,1,1,1,0
DB176BC62D772F896B12BFF14CCC9DD31EF5EF99BF29365A4422781F44641D9F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,3,1,3,1,2,0,3,1,2,1,0,0,1,1,1,0,1,2,1,2,0,0,2,1,1,0,0,0
DF6C7949F07C97DFF06922FB46F5DA6B91736ED16C881B7547D22DE97DF22A2E,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,2,5,4,0,5,0,0,0,0,2,1,0,2,0,0,1,1,3,1,3,1,2,2,2,0,4,1,0,0,0,0,0,0,3,2,0,0,0,0,2,0,1,0,0,1
F458834C5CE4EA21E7E5D273CBD433F6E02EA8C6A374AAEDB3651AE9E9748934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,1,3,0,1,0,0,3,1,1,1,1,0
F77EBA60326310F28D94C3B95E8AA0B5D19D29E64C4C108A7AE22032D3519809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,5,0,0,0,0,2,0,1,3,0,1,1,1,2,1,2,1,2,1,3,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,2,1,0,1,1,0
FB29E6B2C01E31D4BE9793AC54D18834CBD36F2DD2852BDD496B52AC003E1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,12,2,1,0,1,2,2,1,4,0,0,2,1,3,1,3,1,1,4,4,1,2,1,0,0,1,1,0,0,2,2,1,0,0,0,2,1,1,1,1,0
FE216F61CF01D3C6A9C08F9354708B1D5451052480A0F76CAE48B63DFF599A6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,1,5,0,4,0,0,0,0,2,0,0,4,0,1,1,1,3,1,3,1,2,8,3,1,4,1,2,0,1,1,1,0,3,1,1,0,0,0,1,1,1,1,1,0
total_count,1,1,1,1,0,10,0,1,0,1,5,1,21,0,15,16,26,1,3,12,33,7,195,161,196,34,317,25,39,2,15,93,45,32,182,2,29,106,54,159,64,174,60,88,188,166,51,251,46,14,17,54,47,46,0,122,134,28,61,0,14,189,58,39,46,37,19
